"V1","V2"
5,198
5,273
5,273
5,273
5,35
5,64
5,244
5,6
5,95
5,333
5,618
5,618
5,618
5,633
5,96
5,96
5,156
5,186
5,96
5,306
5,379
5,469
5,574
5,469
5,142
5,202
5,202
5,292
5,380
5,620
5,635
5,336
5,113
5,411
5,591
5,10
5,129
5,189
5,279
5,427
5,279
5,205
5,220
5,338
5,338
5,280
5,280
5,280
5,280
5,398
5,428
5,12
5,339
5,251
5,429
5,13
5,252
5,252
5,326
5,475
5,475
5,475
5,490
5,610
5,103
5,208
5,341
5,298
5,104
5,492
6,243
6,601
6,154
6,229
6,259
6,199
6,304
6,304
6,304
6,318
6,347
6,407
6,407
6,467
6,512
6,512
6,512
6,557
6,602
6,602
6,602
6,602
6,602
6,602
6,602
6,6
6,6
6,21
6,21
6,36
6,36
6,36
6,36
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,51
6,95
6,155
6,155
6,185
6,200
6,51
6,333
6,275
6,275
6,305
6,319
6,319
6,319
6,319
6,348
6,393
6,423
6,423
6,483
6,543
6,543
6,543
6,543
6,558
6,633
6,633
6,633
6,319
6,543
6,7
6,7
6,7
6,22
6,37
6,37
6,37
6,37
6,37
6,37
6,111
6,126
6,186
6,201
6,201
6,201
6,201
6,201
6,246
6,334
6,334
6,334
6,334
6,334
6,334
6,334
6,334
6,334
6,156
6,334
6,291
6,291
6,291
6,306
6,306
6,320
6,364
6,409
6,409
6,409
6,409
6,409
6,424
6,424
6,424
6,439
6,469
6,469
6,469
6,469
6,469
6,469
6,469
6,484
6,484
6,484
6,529
6,574
6,589
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,604
6,619
6,619
6,634
6,634
6,634
6,634
6,649
6,649
6,649
6,649
6,649
6,649
6,306
6,469
6,619
6,320
6,8
6,8
6,23
6,23
6,23
6,23
6,38
6,38
6,38
6,38
6,38
6,38
6,38
6,38
6,52
6,52
6,52
6,52
6,52
6,112
6,112
6,127
6,127
6,127
6,127
6,142
6,142
6,157
6,157
6,172
6,187
6,187
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,202
6,217
6,335
6,335
6,335
6,142
6,157
6,202
6,202
6,335
6,335
6,277
6,277
6,292
6,307
6,307
6,307
6,307
6,307
6,307
6,307
6,321
6,321
6,321
6,321
6,321
6,321
6,321
6,321
6,321
6,380
6,425
6,425
6,470
6,470
6,470
6,470
6,470
6,470
6,485
6,485
6,485
6,500
6,545
6,545
6,545
6,545
6,560
6,605
6,605
6,605
6,605
6,605
6,620
6,620
6,620
6,620
6,635
6,650
6,650
6,650
6,650
6,277
6,292
6,307
6,321
6,620
6,9
6,9
6,9
6,24
6,39
6,39
6,39
6,39
6,39
6,39
6,39
6,39
6,53
6,53
6,53
6,53
6,113
6,113
6,143
6,143
6,143
6,158
6,158
6,158
6,158
6,158
6,158
6,173
6,173
6,173
6,173
6,173
6,173
6,173
6,188
6,188
6,188
6,188
6,188
6,188
6,188
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,203
6,248
6,248
6,336
6,336
6,336
6,53
6,53
6,113
6,143
6,188
6,203
6,203
6,248
6,336
6,53
6,278
6,293
6,293
6,293
6,308
6,308
6,308
6,308
6,308
6,322
6,322
6,396
6,426
6,426
6,471
6,471
6,486
6,486
6,486
6,486
6,546
6,546
6,546
6,576
6,606
6,606
6,606
6,606
6,606
6,606
6,621
6,621
6,621
6,621
6,621
6,636
6,636
6,606
6,40
6,40
6,40
6,54
6,54
6,54
6,54
6,54
6,54
6,54
6,99
6,114
6,114
6,114
6,114
6,114
6,144
6,144
6,144
6,144
6,159
6,159
6,159
